Layer,Code,Parent Account,Name,Type,,active,pending,state
Layer 5,13102021,13102,CA FC for DIPLOMATIC BONDED WAREHOUSE(DBW) & DUTY FREE SHOP (DFS) ACCOUNT_USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102031,13102,CA FCDAD USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102041,13102,CA FC OTHERS (IPO/SHIPBUILDERS/CARRIER)_USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102051,13102,CA FC Economic Zone,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13102091,13102,CA <for OBU Cust> USD,Liabilities: Customer Accounts,Current Accounts <FC>,True,False,approve
Layer 5,13103001,13103,Credit Balance IN OD/CC Accounts,No BGL only CGL,MiSc Customer Deposit,True,False,approve
Layer 5,13104001,13104,FBPAR USD,Liabilities: Office Accounts,Sundry Deposits <FC>,True,False,approve
Layer 5,13104002,13104,Sundry Deposit USD <OBU>,Liabilities: Office Accounts,Sundry Deposits <FC>,True,False,approve
Layer 5,13105001,13105,RTGS Adjusting Account,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105002,13105,RTGS FI to FI Settlement,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105003,13105,Excess Cash,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105004,13105,MasterCard Prepaid International (USD),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105006,13105,bKash Commission Payable,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105007,13105,Payable to Bangladesh Bank - Service Charge,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105008,13105,BEFTN Transaction,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105009,13105,Exchange House Coop Fund,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105010,13105,MasterCard Local Prepaid,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105011,13105,Prepaid Gift Card,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105012,13105,Prepaid International Card,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105013,13105,Online Clearing Adjustment,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105014,13105,Risk Fund (Auto Loan),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105015,13105,Stamp Charge Recovery,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105016,13105,Retail CIB Charge Recover for BB,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105017,13105,Retail Notarization Charge Recovery,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105018,13105,Central Fund (RMG Sector),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105019,13105,Risk Fund (Card),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105020,13105,Credit Report Charges Payable,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105021,13105,Transfer Delivery,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105022,13105,Online GL Transaction <Sundry Account>,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105023,13105,Online Transfer DD Amount,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105024,13105,Clearing House Payable,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105025,13105,Risk Fund (Small Business Loan),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105026,13105,Risk Fund (House Repair/Renovation Loan),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105027,13105,Lease Deposit,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105028,13105,P. Fund Loan Instalment,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105029,13105,Foreign Bank Adjustment A/c,Treasury Liabilities,Sundry Deposits,True,False,approve
Layer 5,13105030,13105,Recovery of SWIFT Charges,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105031,13105,Margin on L/C (Others),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105032,13105,Margin on L/G (Inland),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105033,13105,Margin on L/G (Foreign),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105034,13105,Risk Fund (Lease Finance),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105035,13105,AIT <Advance Income Tax> Payable Account,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105036,13105,Fund Build up Aganist Export Bill,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105037,13105,Sundry Creditors,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105038,13105,Security Deposit,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105039,13105,Margin on L/C (Cash),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105040,13105,Margin on IBP/FDBP,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105041,13105,LDBC,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105042,13105,Duty Draw Back,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105043,13105,Cash Incentive (Traditional),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105044,13105,Cash Incentive (Non Traditional),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105045,13105,OBC Outward Bill Collection,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105046,13105,Advance Lease Rental,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105047,13105,Sanchay Patra (Issued),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105048,13105,Risk Fund (CCS),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105106,13105,bKash Settlement A/c,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13201001,13201,MTB Buniad,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13201002,13201,NRB Fixed Deposit,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13201003,13201,Term Deposit General,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13201004,13201,Term Deposit Monthly Benefit Plan,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13201901,13201,Best Investment TERM DEPOSIT,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13201902,13201,MTB Quarterly Benefit Plan,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13202001,13202,Reinvestment Term Deposit MTB Buniad,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202002,13202,Reinvestment Term Deposits General,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202003,13202,Reinvestment Term Deposit Double Benefit Scheme,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202004,13202,Reinvestment Term Deposit NRB,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202901,13202,MTB DOUBLE SAVER (DST),Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202902,13202,MTB TRIPLE SAVER PLAN,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202903,13202,FIXED DEPOSIT (DST),Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202904,13202,MTB 1.5 Times Benefit Plan,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13203001,13203,RD Brick-by-Brick,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203002,13203,RD MTB Educational Plan,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203003,13203,RD Kotipati,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203004,13203,RD Millionnaire Plan,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203005,13203,RD NRB,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203901,13203,SAVE EVERY DAY DEPOSIT A/C,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203902,13203,FESTIVAL SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203903,13203,UNIQUE SAVING PLAN,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203904,13203,EID UL FITRE SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203905,13203,EID UL AZHA SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203906,13203,DURGA PUJA SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203907,13203,CHRISTMAS SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203908,13203,BUDDHA PURNIMA SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13204001,13204,FC NON-RESIDENT FOREIGN CURRENCY DEPOSIT ACCOUNT(NFCD)_USD,Liabilities: Customer Accounts,Term Deposits FC,True,False,approve
Layer 5,13204002,13204,FC FD from Individual OBU USD,Liabilities: Customer Accounts,Term Deposits FC,True,False,approve
Layer 5,13204003,13204,FC FD from Institutions OBU USD,Liabilities: Customer Accounts,Term Deposits FC,True,False,approve
Layer 5,13205001,13205,Special Notice Deposit,Liabilities: Customer Accounts,Special Notice Deposit,True,False,approve
Layer 5,13206001,13206,MTB Ankur,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206002,13206,MTB Ruby,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206003,13206,MTB Graduate,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206004,13206,MTB Junior,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206005,13206,MTB Privilege Saving,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206006,13206,NRB Savings Account,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206007,13206,MTB Senior,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206008,13206,MTB Inspire,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206009,13206,MTB Shanchay,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206010,13206,MTB Care,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
