"External ID","Module Name","Technical Name","Display Name"
"base.module_stock_operating_unit_user","Stock User Operating Unit","stock_operating_unit_user","Stock User Operating Unit"
"base.module_tko_account","Account Invoice Is Paid ","tko_account","Account Invoice Is Paid "
"base.module_tko_account_configuration","Account Configuration","tko_account_configuration","Account Configuration"
"base.module_tko_account_multi_company","tko_account_multi_company","tko_account_multi_company","tko_account_multi_company"
"base.module_tko_account_payment_term_fixed_day","Account Payment Terms Improvment","tko_account_payment_term_fixed_day","Account Payment Terms Improvment"
"base.module_utm","UTM Trackers","utm","UTM Trackers"
"base.module_web","Web","web","Web"
"base.module_web_calendar","Web Calendar","web_calendar","Web Calendar"
"base.module_web_diagram","Odoo Web Diagram","web_diagram","Odoo Web Diagram"
"base.module_web_editor","Web Editor","web_editor","Web Editor"
"base.module_web_hide_db_poweredby_link","Hide database manager & powered by link in login screen","web_hide_db_poweredby_link","Hide database manager & powered by link in login screen"
"base.module_web_kanban","Base Kanban","web_kanban","Base Kanban"
"base.module_web_kanban_gauge","Gauge Widget for Kanban","web_kanban_gauge","Gauge Widget for Kanban"
"base.module_web_planner","Planner","web_planner","Planner"
"base.module_web_settings_dashboard","Odoo Settings Dashboard","web_settings_dashboard","Odoo Settings Dashboard"
"base.module_web_tour","Tours","web_tour","Tours"
"base.module_website_event_filter_selector","Website Event Selection Filters","website_event_filter_selector","Website Event Selection Filters"
"base.module_website_event_questions","Questions on Events","website_event_questions","Questions on Events"
"base.module_website_form","Generic Form Controller","website_form","Generic Form Controller"
"base.module_website_hr_recruitment","Online Jobs","website_hr_recruitment","Online Jobs"
"base.module_website_mail","Website Mail","website_mail","Website Mail"
"base.module_website_partner","Website Partner","website_partner","Website Partner"
"base.module_website_theme_install","Website Theme Install","website_theme_install","Website Theme Install"
"base.module_hr_attendance_settings","HR Attendance Settings","hr_attendance_settings","HR Attendance Settings"
"base.module_hr_employee_operating_unit","HR Employee Operating Unit","hr_employee_operating_unit","HR Employee Operating Unit"
"base.module_survey","Survey","survey","Survey"
"base.module_calendar","Calendar","calendar","Calendar"
"base.module_event_registration","Event Registration","event_registration","Event Registration"
"base.module_website_event","Online Events","website_event","Online Events"
