,Name,Parent,sequence,sign,type,style_overwrite
62201001,Customers' Liability on Cash ILC Sight,Letter of Credit <Contingent>,0,Preserve balance sign,View,
62201002,Customers' Liability on ILC Usance,Letter of Credit <Contingent>,1,Preserve balance sign,Accounts,
62201003,Customers' Liability on BTB ILC Sight,Letter of Credit <Contingent>,2,Preserve balance sign,Accounts,
62201004,Customers' Liability on BTB ILC Usance,Letter of Credit <Contingent>,3,Preserve balance sign,Accounts,
62202001,Customers' Liability on Cash FLC Sight,Letter of Credit <Contingent>,0,Preserve balance sign,View,
62202002,Customers' Liability on Cash FLC Usance,Letter of Credit <Contingent>,5,Preserve balance sign,Accounts,
62202003,Customers' Liability on BTB FLC Sight,Letter of Credit <Contingent>,6,Preserve balance sign,Accounts,
62202004,Customers' Liability on BTB FLC Usance,Letter of Credit <Contingent>,7,Preserve balance sign,Accounts,
623,Accepted Bills under LC <Contingent>,Contingent,2,Preserve balance sign,View,
62301001,Customers' Liability for Accepted Bills <Inland>,Accepted Bills under LC <Contingent>,0,Preserve balance sign,Accounts,
62302002,Customers' Liability for Accepted Bills other Banks <Foreign>,Accepted Bills under LC <Contingent>,1,Preserve balance sign,Accounts,
0,Liabilities,Statement of Affairs,0,Preserve balance sign,View,
11,Capital & Reserve,Liabilities,0,Preserve balance sign,View,
111,Capital,Capital & Reserve,0,Preserve balance sign,View,
11101001,Paid up Capital,Capital,0,Preserve balance sign,View,
112,Reserve,Capital & Reserve,0,Preserve balance sign,View,
11201001,General Reserve,Reserve,0,Preserve balance sign,View,
11202001,Statutory Reserve,Reserve,0,Preserve balance sign,View,
11203001,Revaluation gain on HTM Securities,Reserve,2,Preserve balance sign,Account Type,
11203002,Revaluation gain on HFT Securities (T Bill),Reserve,3,Preserve balance sign,Account Type,
11203003,Revaluation gain on HFT Securities (T Bond),Reserve,4,Preserve balance sign,Account Type,
11204001,Share Premium,Reserve,0,Preserve balance sign,View,
11205001,Retained earnings,Reserve,0,Preserve balance sign,View,
11206001,Foreign Currency Translational Gain/ Loss,Reserve,7,Preserve balance sign,Account Type,
12,Borrowings,Liabilities,1,Preserve balance sign,View,
121,Borrowings under Bangladesh Bank,Borrowings,2,Preserve balance sign,Account Type,
12101001,EGBMP Fund,Borrowings under Bangladesh Bank,0,Preserve balance sign,Account Type,
12101002,Special Repo,Borrowings under Bangladesh Bank,0,Preserve balance sign,View,
12101003,Assured Liquidity Support (ALS-Repo),Borrowings under Bangladesh Bank,2,Preserve balance sign,Account Type,
12101004,Export Dev. Fund USD,Borrowings under Bangladesh Bank,3,Preserve balance sign,Account Type,
12101005,Repo Bangladesh Bank,Borrowings under Bangladesh Bank,4,Preserve balance sign,Account Type,
12102001,JICA Fund SME,Borrowings under Bangladesh Bank,5,Preserve balance sign,Account Type,
12103001,"Solar Energy, Bio Gas EFT & HHK fund",Borrowings under Bangladesh Bank,6,Preserve balance sign,Account Type,
12103002,Taka 10 Account Holders,Borrowings under Bangladesh Bank,7,Preserve balance sign,Account Type,
12103003,Woman Enterpreneurs Fund (SME),Borrowings under Bangladesh Bank,8,Preserve balance sign,Account Type,
12103004,SME Loan Refinance,Borrowings under Bangladesh Bank,9,Preserve balance sign,Account Type,
12103005,Home Loan Refinance <Borrowings>,Borrowings under Bangladesh Bank,10,Preserve balance sign,Account Type,
12103006,ADB Fund (SME),Borrowings under Bangladesh Bank,11,Preserve balance sign,Account Type,
12103007,ADB Fund (Brick Klin),Borrowings under Bangladesh Bank,12,Preserve balance sign,Account Type,
12103008,EGBMP Fund (SME),Borrowings under Bangladesh Bank,13,Preserve balance sign,Account Type,
12103009,JICA Fund (SME),Borrowings under Bangladesh Bank,14,Preserve balance sign,Account Type,
12103010,Agro-Processing Rural Industries Fund,Borrowings under Bangladesh Bank,15,Preserve balance sign,Account Type,
12103011,Bangladesh Bank Fund (Others),Borrowings under Bangladesh Bank,16,Preserve balance sign,Account Type,
12103012,Agro-Processing Rural Industries Fund Old,Borrowings under Bangladesh Bank,17,Preserve balance sign,Account Type,
12104001,Investment Promotion and Financing Fund (IPFF) USD,Borrowings under Bangladesh Bank,18,Preserve balance sign,Account Type,
12104002,Investment Promotion and Financing Facility (IPFF) GBP,Borrowings under Bangladesh Bank,19,Preserve balance sign,Account Type,
12104101,Investment Promotion and Financing Fund (IPFF) USD OBU,Borrowings under Bangladesh Bank,20,Preserve balance sign,Account Type,
12105001,Long Term Financing Facility (LTFF) under FSSP,Borrowings under Bangladesh Bank,21,Preserve balance sign,Account Type,
12106001,Borrowing under EDF from Bangladesh Bank USD,Borrowings under Bangladesh Bank,22,Preserve balance sign,Account Type,
122,Borrowings from other Banks,Borrowings,3,Preserve balance sign,View,
12201001,Term Borrowing in FC <USD>,Borrowings from other Banks,0,Preserve balance sign,Account Type,
12201002,Term Borrowing in FC <GBP>,Borrowings from other Banks,1,Preserve balance sign,Account Type,
12202001,Call Borrowing <BDT>,Borrowings from other Banks,2,Preserve balance sign,Account Type,
12203001,Term Borrowing <BDT>,Borrowings from other Banks,3,Preserve balance sign,Account Type,
12204001,Repo T Bill,Borrowings from other Banks,4,Preserve balance sign,Account Type,
12204002,Repo T Bond,Borrowings from other Banks,5,Preserve balance sign,Account Type,
12205001,Call Borrowing in FC <USD>,Borrowings from other Banks,6,Preserve balance sign,Account Type,
12205002,Call Borrowing in FC <GBP>,Borrowings from other Banks,7,Preserve balance sign,Account Type,
12206001,Short Term Borrowing <BDT>,Borrowings from other Banks,8,Preserve balance sign,Account Type,
12207001,Short Term Borrowing <USD>,Borrowings from other Banks,9,Preserve balance sign,Account Type,
12207002,Short Term Borrowing <GBP>,Borrowings from other Banks,10,Preserve balance sign,Account Type,
12208001,Overnight Borrowing <BDT>,Borrowings from other Banks,11,Preserve balance sign,Account Type,
123,Borrowings from other Institutions,Borrowings,4,Preserve balance sign,View,
12301001,SME Foundation,Borrowings from other Institutions,0,Preserve balance sign,Account Type,
12302001,SME Foundation Fund (MTB Youth Line),Borrowings from other Institutions,1,Preserve balance sign,Account Type,
12302002,SME Foundation Fund (MTB Gunabati),Borrowings from other Institutions,2,Preserve balance sign,Account Type,
12303001,Borrowings from NBFI,Borrowings from other Institutions,3,Preserve balance sign,Account Type,
125,Interest Payable on Borrowings,Borrowings,5,Preserve balance sign,View,
12501,Interest Payable on Borrowings fm BB,Interest Payable on Borrowings,0,Preserve balance sign,Account Type,
12501001,Interest Payable on Borrowings from LTFF under FSSP,Interest Payable on Borrowings fm BB,0,Preserve balance sign,View,
12501002,Interest Payable on Borrowing -IPFF Fund USD,Interest Payable on Borrowings fm BB,1,Preserve balance sign,Account Type,
12501003,Interest Payable on Borrowing -IPFF Fund GBP,Interest Payable on Borrowings fm BB,2,Preserve balance sign,Account Type,
12501004,Interest Payable on Borrowings from BB-others,Interest Payable on Borrowings fm BB,3,Preserve balance sign,Account Type,
12501005,Interest Payable on Borrowings from BB-under prefinance,Interest Payable on Borrowings fm BB,4,Preserve balance sign,Account Type,
12501006,Interest Payable on Borrowings from BB-under Refinance,Interest Payable on Borrowings fm BB,5,Preserve balance sign,Account Type,
12501007,Intt Payable on Borrowing under EDF from BB,Interest Payable on Borrowings fm BB,6,Preserve balance sign,Account Type,
12501102,Interest Payable on Borrowing -IPFF Fund USD OBU,Interest Payable on Borrowings fm BB,7,Preserve balance sign,Account Type,
12502,Interest Payable on Borrowings from other Banks,Interest Payable on Borrowings,1,Preserve balance sign,View,
12502001,Interest Payable on Term Borrowing in FC <USD>,Interest Payable on Borrowings from other Banks,0,Preserve balance sign,Account Type,
12502002,Interest Payable on Term Borrowing in FC <GBP>,Interest Payable on Borrowings from other Banks,1,Preserve balance sign,Account Type,
12502003,Interest Payable on Term Borrowings BDT,Interest Payable on Borrowings from other Banks,2,Preserve balance sign,Account Type,
12502004,Interest Payable on Call Borrowing BDT,Interest Payable on Borrowings from other Banks,3,Preserve balance sign,View,
12502006,Interest payable on Call Borrowing in FC <USD>,Interest Payable on Borrowings from other Banks,4,Preserve balance sign,Account Type,
12502007,Interest payable on Call Borrowing in FC <GBP>,Interest Payable on Borrowings from other Banks,5,Preserve balance sign,Account Type,
12502008,Interest Payable A/c- Repo T Bond,Interest Payable on Borrowings from other Banks,6,Preserve balance sign,Account Type,
12502009,Interest Payable on Short Term Borrowing in FC <USD>,Interest Payable on Borrowings from other Banks,7,Preserve balance sign,Account Type,
12502010,Interest Payable on Short Term Borrowing in FC <GBP>,Interest Payable on Borrowings from other Banks,8,Preserve balance sign,Account Type,
12502011,Interest Payable on Short Term Borrowings BDT,Interest Payable on Borrowings from other Banks,9,Preserve balance sign,Account Type,
12502012,Interest Payable on Overnight Borrowing <BDT>,Interest Payable on Borrowings from other Banks,10,Preserve balance sign,Account Type,
12503,Interest Payable on Borrowings fm other Institution,Interest Payable on Borrowings,2,Preserve balance sign,Account Type,
12503001,Interest Payable on Borrowings from SME Foundation,Interest Payable on Borrowings fm other Institution,0,Preserve balance sign,Account Type,
12503002,Interest Payable on Borrowing from NBFI,Interest Payable on Borrowings fm other Institution,1,Preserve balance sign,Account Type,
12504,Interest Payable on Borrowings fm other Institution <prefinance>,Interest Payable on Borrowings,3,Preserve balance sign,Account Type,
12504001,IP on SME Foundation Fund (MTB Youth Line),Interest Payable on Borrowings fm other Institution <prefinance>,0,Preserve balance sign,Account Type,
12504002,IP on SME Foundation Fund (MTB Gunabati),Interest Payable on Borrowings fm other Institution <prefinance>,1,Preserve balance sign,Account Type,
13,Deposits,Liabilities,5,Preserve balance sign,View,
131,Customer Deposits -Current & Others,Deposits,0,Preserve balance sign,Account Type,
13101,Current Accounts <BDT>,Customer Deposits -Current & Others,0,Preserve balance sign,Account Type,
13101001,Current Account Regular <CAREG>,Current Accounts <BDT>,0,Preserve balance sign,Account Type,
13101002,MTB Probaho,Current Accounts <BDT>,1,Preserve balance sign,Account Type,
13101003,Current CMS,Current Accounts <BDT>,2,Preserve balance sign,Account Type,
13101004,NON RESIDENT INVESTORS TAKA ACCOUNT (NITA),Current Accounts <BDT>,3,Preserve balance sign,Account Type,
13101005,Non-Resident Taka Account (NRTA),Current Accounts <BDT>,4,Preserve balance sign,Account Type,
13101006,CA Convertible Taka Account,Current Accounts <BDT>,5,Preserve balance sign,Account Type,
13101901,Current Deposit (DST),Current Accounts <BDT>,6,Preserve balance sign,Account Type,
13102,Current Accounts <FC>,Customer Deposits -Current & Others,1,Preserve balance sign,Account Type,
13102001,CA EXPORTER'S RETENTION QUOTA (ERQ) ACCOUNT-USD,Current Accounts <FC>,0,Preserve balance sign,Account Type,
13102011,CA FC FOR THE EPZ COMPANIES (FCEPZ)_USD,Current Accounts <FC>,1,Preserve balance sign,Account Type,
13102021,CA FC for DIPLOMATIC BONDED WAREHOUSE(DBW) & DUTY FREE SHOP (DFS) ACCOUNT_USD,Current Accounts <FC>,2,Preserve balance sign,Account Type,
13102031,CA FCDAD USD,Current Accounts <FC>,3,Preserve balance sign,Account Type,
13102041,CA FC OTHERS (IPO/SHIPBUILDERS/CARRIER)_USD,Current Accounts <FC>,4,Preserve balance sign,Account Type,
13102051,CA FC Economic Zone,Current Accounts <FC>,5,Preserve balance sign,Account Type,
13102091,CA <for OBU Cust> USD,Current Accounts <FC>,6,Preserve balance sign,Account Type,
13103,Misc Customer Deposit,Customer Deposits -Current & Others,2,Preserve balance sign,View,
13103001,Credit Balance in OD/CC Accounts,Misc Customer Deposit,0,Preserve balance sign,Account Type,
13104,Sundry Deposits <FC>,Customer Deposits -Current & Others,3,Preserve balance sign,Account Type,
13104001,FBPAR USD,Sundry Deposits <FC>,0,Preserve balance sign,Account Type,
13104002,Sundry Deposit USD <OBU>,Sundry Deposits <FC>,1,Preserve balance sign,Account Type,
13105,Sundry Deposits,Customer Deposits -Current & Others,4,Preserve balance sign,View,
13105001,RTGS Adjusting Account,Sundry Deposits,0,Preserve balance sign,Account Type,
13105002,RTGS FI to FI Settlement,Sundry Deposits,1,Preserve balance sign,Account Type,
13105003,Excess Cash,Sundry Deposits,2,Preserve balance sign,Account Type,
13105004,MasterCard Prepaid International (USD),Sundry Deposits,3,Preserve balance sign,Account Type,
13105006,bKash Commission Payable,Sundry Deposits,4,Preserve balance sign,Account Type,
13105007,Payable to Bangladesh Bank - Service Charge,Sundry Deposits,5,Preserve balance sign,Account Type,
13105008,BEFTN Transaction,Sundry Deposits,6,Preserve balance sign,Account Type,
13105009,Exchange House Coop Fund,Sundry Deposits,7,Preserve balance sign,Account Type,
13105010,MasterCard Local Prepaid,Sundry Deposits,8,Preserve balance sign,Account Type,
13105011,Prepaid Gift Card,Sundry Deposits,9,Preserve balance sign,Account Type,
13105012,Prepaid International Card,Sundry Deposits,10,Preserve balance sign,Account Type,
13105013,Online Clearing Adjustment,Sundry Deposits,11,Preserve balance sign,Account Type,
13105014,Risk Fund (Auto Loan),Sundry Deposits,12,Preserve balance sign,Account Type,
13105015,Stamp Charge Recovery,Sundry Deposits,13,Preserve balance sign,Account Type,
13105016,Retail CIB Charge Recover for BB,Sundry Deposits,14,Preserve balance sign,Account Type,
13105017,Retail Notarization Charge Recovery,Sundry Deposits,15,Preserve balance sign,Account Type,
13105018,Central Fund (RMG Sector),Sundry Deposits,16,Preserve balance sign,Account Type,
13105019,Risk Fund (Card),Sundry Deposits,17,Preserve balance sign,Account Type,
13105020,Credit Report Charges Payable,Sundry Deposits,18,Preserve balance sign,Account Type,
13105021,Transfer Delivery,Sundry Deposits,19,Preserve balance sign,Account Type,
13105022,Online GL Transaction <Sundry Account>,Sundry Deposits,20,Preserve balance sign,Account Type,
13105023,Online Transfer DD Amount,Sundry Deposits,21,Preserve balance sign,Account Type,
13105024,Clearing House Payable,Sundry Deposits,22,Preserve balance sign,Account Type,
13105025,Risk Fund (Small Business Loan),Sundry Deposits,23,Preserve balance sign,Account Type,
13105026,Risk Fund (House Repair/Renovation Loan),Sundry Deposits,24,Preserve balance sign,Account Type,
13105027,Lease Deposit,Sundry Deposits,25,Preserve balance sign,Account Type,
13105028,P. Fund Loan Instalment,Sundry Deposits,26,Preserve balance sign,Account Type,
13105029,Foreign Bank Adjustment A/c,Sundry Deposits,27,Preserve balance sign,Account Type,
13105030,Recovery of SWIFT Charges,Sundry Deposits,28,Preserve balance sign,Account Type,
13105031,Margin on L/C (Others),Sundry Deposits,29,Preserve balance sign,Account Type,
13105032,Margin on L/G (Inland),Sundry Deposits,30,Preserve balance sign,Account Type,
13105033,Margin on L/G (Foreign),Sundry Deposits,31,Preserve balance sign,Account Type,
13105034,Risk Fund (Lease Finance),Sundry Deposits,32,Preserve balance sign,Account Type,
13105035,AIT <Advance Income Tax> Payable Account,Sundry Deposits,33,Preserve balance sign,Account Type,
13105036,Fund Build up Aganist Export Bill,Sundry Deposits,34,Preserve balance sign,Account Type,
13105037,Sundry Creditors,Sundry Deposits,35,Preserve balance sign,Account Type,
13105038,Security Deposit,Sundry Deposits,36,Preserve balance sign,Account Type,
13105039,Margin on L/C (Cash),Sundry Deposits,37,Preserve balance sign,Account Type,
13105040,Margin on IBP/FDBP,Sundry Deposits,38,Preserve balance sign,Account Type,
13105041,LDBC,Sundry Deposits,39,Preserve balance sign,Account Type,
13105042,Duty Draw Back,Sundry Deposits,40,Preserve balance sign,Account Type,
13105043,Cash Incentive (Traditional),Sundry Deposits,41,Preserve balance sign,Account Type,
13105044,Cash Incentive (Non Traditional),Sundry Deposits,42,Preserve balance sign,Account Type,
13105045,OBC Outward Bill Collection,Sundry Deposits,43,Preserve balance sign,Account Type,
13105046,Advance Lease Rental,Sundry Deposits,44,Preserve balance sign,Account Type,
13105047,Sanchay Patra (Issued),Sundry Deposits,45,Preserve balance sign,Account Type,
13105048,Risk Fund (CCS),Sundry Deposits,46,Preserve balance sign,Account Type,
13105106,bKash Settlement A/c,Sundry Deposits,47,Preserve balance sign,Account Type,
132,"Customer Deposits -SB, FD, RD, SND etc.",Deposits,1,Preserve balance sign,View,
13201,Term Deposits,"Customer Deposits -SB, FD, RD, SND etc.",0,Preserve balance sign,Account Type,
13201001,MTB Buniad,Term Deposits,0,Preserve balance sign,Account Type,
13201002,NRB Fixed Deposit,Term Deposits,1,Preserve balance sign,Account Type,
13201003,Term Deposit General,Term Deposits,2,Preserve balance sign,Account Type,
13201004,Term Deposit Monthly Benefit Plan,Term Deposits,3,Preserve balance sign,Account Type,
13201901,Best Investment TERM DEPOSIT,Term Deposits,4,Preserve balance sign,Account Type,
13201902,MTB Quarterly Benefit Plan,Term Deposits,5,Preserve balance sign,Account Type,
13202,Term Deposits Reinvestments,"Customer Deposits -SB, FD, RD, SND etc.",1,Preserve balance sign,Account Type,
13202001,Reinvestment Term Deposit MTB Buniad,Term Deposits Reinvestments,0,Preserve balance sign,Account Type,
13202002,Reinvestment Term Deposits General,Term Deposits Reinvestments,1,Preserve balance sign,Account Type,
13202003,Reinvestment Term Deposit Double Benefit Scheme,Term Deposits Reinvestments,2,Preserve balance sign,Account Type,
13202004,Reinvestment Term Deposit NRB,Term Deposits Reinvestments,0,Preserve balance sign,View,
13202901,MTB DOUBLE SAVER (DST),Term Deposits Reinvestments,4,Preserve balance sign,View,
13202902,MTB TRIPLE SAVER PLAN,Term Deposits Reinvestments,5,Preserve balance sign,Account Type,
13202903,FIXED DEPOSIT (DST),Term Deposits Reinvestments,6,Preserve balance sign,Account Type,
13202904,MTB 1.5 Times Benefit Plan,Term Deposits Reinvestments,7,Preserve balance sign,Account Type,
13203,Recurring Deposit,"Customer Deposits -SB, FD, RD, SND etc.",2,Preserve balance sign,View,
13203001,RD Brick-by-Brick,Recurring Deposit,0,Preserve balance sign,Account Type,
13203002,RD MTB Educational Plan,Recurring Deposit,0,Preserve balance sign,Account Type,
13203003,RD Kotipati,Recurring Deposit,2,Preserve balance sign,Account Type,
13203004,RD Millionnaire Plan,Recurring Deposit,3,Preserve balance sign,Account Type,
13203005,RD NRB,Recurring Deposit,4,Preserve balance sign,Account Type,
13206912,SAVE EVERY DAY DEPOSIT A/C,Recurring Deposit,5,Preserve balance sign,Account Type,
13206913,FESTIVAL SANCHAY PROKALPA,Recurring Deposit,6,Preserve balance sign,Account Type,
13206914,UNIQUE SAVING PLAN,Recurring Deposit,7,Preserve balance sign,Account Type,
13206907,EID UL FITRE SANCHAY PROKALPA,Recurring Deposit,8,Preserve balance sign,Account Type,
13206908,EID UL AZHA SANCHAY PROKALPA,Recurring Deposit,9,Preserve balance sign,Account Type,
13206909,DURGA PUJA SANCHAY PROKALPA,Recurring Deposit,10,Preserve balance sign,View,
13206910,CHRISTMAS SANCHAY PROKALPA,Recurring Deposit,11,Preserve balance sign,Account Type,
13206911,BUDDHA PURNIMA SANCHAY PROKALPA,Recurring Deposit,12,Preserve balance sign,Account Type,
13204,Term Deposits FC,"Customer Deposits -SB, FD, RD, SND etc.",3,Preserve balance sign,View,
13204001,FC NON-RESIDENT FOREIGN CURRENCY DEPOSIT ACCOUNT(NFCD)_USD,Term Deposits FC,0,Preserve balance sign,Account Type,
13204002,FC FD from Individual OBU USD,Term Deposits FC,1,Preserve balance sign,Account Type,
13204003,FC FD from Institutions OBU USD,Term Deposits FC,2,Preserve balance sign,Account Type,
13205,Special Notice Deposit (SND),"Customer Deposits -SB, FD, RD, SND etc.",4,Preserve balance sign,View,
13205001,Special Notice Deposit (SND),Special Notice Deposit (SND),4,Preserve balance sign,View,
13206,Savings Bank Account,"Customer Deposits -SB, FD, RD, SND etc.",5,Preserve balance sign,Account Type,
13206001,MTB Ankur,Savings Bank Account,0,Preserve balance sign,Account Type,
13206002,MTB Ruby,Savings Bank Account,1,Preserve balance sign,Account Type,
13206003,MTB Graduate,Savings Bank Account,2,Preserve balance sign,Account Type,
13206004,MTB Junior,Savings Bank Account,3,Preserve balance sign,Account Type,
13206005,MTB Privilege Saving,Savings Bank Account,4,Preserve balance sign,Account Type,
13206006,NRB Savings Account,Savings Bank Account,5,Preserve balance sign,Account Type,
13206007,MTB Senior,Savings Bank Account,6,Preserve balance sign,Account Type,
13206008,MTB Inspire,Savings Bank Account,7,Preserve balance sign,Account Type,
13206009,MTB Shanchay,Savings Bank Account,8,Preserve balance sign,Account Type,
13206010,MTB Care,Savings Bank Account,9,Preserve balance sign,Account Type,
13206011,Regular Savings Deposit,Savings Bank Account,0,Preserve balance sign,View,
13206012,MTB Regular Savings Staff,Savings Bank Account,11,Preserve balance sign,Account Type,
13206013,MTB Payroll Premium,Savings Bank Account,12,Preserve balance sign,Account Type,
13206014,MTB Payroll eSavers,Savings Bank Account,13,Preserve balance sign,Account Type,
13206015,MTB Payroll Saver,Savings Bank Account,14,Preserve balance sign,Account Type,
13206016,MTB Children Education Deposit Scheme,Savings Bank Account,15,Preserve balance sign,Account Type,
13206901,MTB Inspire (DST),Savings Bank Account,16,Preserve balance sign,Account Type,
13206902,MTB Senior (DST),Savings Bank Account,17,Preserve balance sign,Account Type,
13206903,MTB Ruby (DST),Savings Bank Account,18,Preserve balance sign,Account Type,
13206904,Savings Deposit (DST),Savings Bank Account,19,Preserve balance sign,Account Type,
13206905,MTB Graduate (DST),Savings Bank Account,20,Preserve balance sign,Account Type,
13206906,MTB JUNIOR (DST),Savings Bank Account,21,Preserve balance sign,Account Type,
13207,Savings Bank Account <FC>,"Customer Deposits -SB, FD, RD, SND etc.",6,Preserve balance sign,View,
13207001,SB Resident Foreign Currency Deposit (RFCD)_USD,Savings Bank Account <FC>,0,Preserve balance sign,Account Type,
13207011,FC PRIVATE FOREIGN CURRENCY ACCOUNT (PFC) INCLUDING DFC & RBN_USD,Savings Bank Account <FC>,1,Preserve balance sign,Account Type,
13208,Other Deposit product,"Customer Deposits -SB, FD, RD, SND etc.",7,Preserve balance sign,View,
13208001,MTB Gift Cheque,Other Deposit product,0,Preserve balance sign,Account Type,
133,Bank & NBFI Deposits -Current & Others,Deposits,2,Preserve balance sign,View,
13301,Current Deposits from other Bank,Bank & NBFI Deposits -Current & Others,0,Preserve balance sign,Account Type,
13301001,Current Deposits from other Bank,Current Deposits from other Bank,0,Preserve balance sign,Account Type,
13302,Current Deposits from NBFI,Bank & NBFI Deposits -Current & Others,1,Preserve balance sign,View,
13302001,Current Deposits from NBFI,Current Deposits from NBFI,1,Preserve balance sign,View,
134,Bank & NBFI Deposits -FD & Others,Deposits,3,Preserve balance sign,View,
13401,Bank Deposits -FD,Bank & NBFI Deposits -FD & Others,0,Preserve balance sign,View,
13401001,Bank Deposits -FD <BDT>,Bank Deposits -FD,0,Preserve balance sign,View,
13401002,Bank Deposits -SND,Bank Deposits -FD,1,Preserve balance sign,Account Type,
13402001,NBFI Deposits -FD,Bank Deposits -FD,2,Preserve balance sign,Account Type,
135,Interest Payable on Customer Deposits -Current & Others,Deposits,4,Preserve balance sign,View,
13501,Interest Payable on Current Deposits,Interest Payable on Customer Deposits -Current & Others,0,Preserve balance sign,Account Type,
13501001,Interest Payable MTB Probaho,Interest Payable on Current Deposits,0,Preserve balance sign,Account Type,
136,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",Deposits,5,Preserve balance sign,View,
13601,Interest Payable on TD Accounts,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",0,Preserve balance sign,View,
13601001,Interest Payable on MTB Buniad,Interest Payable on TD Accounts,0,Preserve balance sign,Account Type,
13601002,Interest Payable on NRB Fixed Deposit,Interest Payable on TD Accounts,1,Preserve balance sign,Account Type,
13601003,Interest Payable on Term Deposit General,Interest Payable on TD Accounts,2,Preserve balance sign,View,
13601004,Interest Payable on Term Deposit Monthly Benefit Plan,Interest Payable on TD Accounts,3,Preserve balance sign,View,
13601901,Interest Payable on Best Investment TERM DEPOSIT,Interest Payable on TD Accounts,4,Preserve balance sign,Account Type,
13601902,IP on MTB Quarterly Benefit Plan,Interest Payable on TD Accounts,5,Preserve balance sign,Account Type,
13602,Interest Payable on Savings Bank Accounts,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",1,Preserve balance sign,View,
13602001,IP MTB Ankur,Interest Payable on Savings Bank Accounts,0,Preserve balance sign,Account Type,
13602002,IP MTB Ruby,Interest Payable on Savings Bank Accounts,1,Preserve balance sign,Account Type,
13602003,IP MTB Graduate,Interest Payable on Savings Bank Accounts,2,Preserve balance sign,Account Type,
13602004,IP MTB Junior,Interest Payable on Savings Bank Accounts,3,Preserve balance sign,Account Type,
13602005,IP MTB Privilege Saving,Interest Payable on Savings Bank Accounts,4,Preserve balance sign,Account Type,
13602006,Interest Payable on NRB Savings Account,Interest Payable on Savings Bank Accounts,5,Preserve balance sign,Account Type,
13602007,IP MTB Senior,Interest Payable on Savings Bank Accounts,6,Preserve balance sign,Account Type,
13602008,IP on MTB Inspire,Interest Payable on Savings Bank Accounts,7,Preserve balance sign,Account Type,
13602009,IP on MTB Shanchay,Interest Payable on Savings Bank Accounts,8,Preserve balance sign,Account Type,
13602010,IP on MTB Care,Interest Payable on Savings Bank Accounts,9,Preserve balance sign,Account Type,
13602011,IP on Regular Savings Deposit,Interest Payable on Savings Bank Accounts,0,Preserve balance sign,View,
13602012,Interest Payable on MTB REGULAR SAVINGS STAFF,Interest Payable on Savings Bank Accounts,11,Preserve balance sign,View,
13602013,Interest Payable on MTB Payroll Premium,Interest Payable on Savings Bank Accounts,12,Preserve balance sign,Account Type,
13602014,Interest Payable on MTB Payroll eSavers,Interest Payable on Savings Bank Accounts,13,Preserve balance sign,Account Type,
13602015,Interest Payable on MTB Payroll Saver,Interest Payable on Savings Bank Accounts,14,Preserve balance sign,Account Type,
13602016,Interest Payable on MTB Children Education Deposit Scheme,Interest Payable on Savings Bank Accounts,15,Preserve balance sign,Account Type,
13602901,Interest Payable on MTB Inspire (DST),Interest Payable on Savings Bank Accounts,0,Preserve balance sign,View,
13602903,Interest Payable on MTB Ruby (DST),Interest Payable on Savings Bank Accounts,17,Preserve balance sign,Account Type,
13602904,Interest Payable on Savings Deposit (DST),Interest Payable on Savings Bank Accounts,18,Preserve balance sign,Account Type,
13602905,Interest Payable on MTB Graduate (DST),Interest Payable on Savings Bank Accounts,19,Preserve balance sign,Account Type,
13602906,Interest Payable on MTB JUNIOR (DST),Interest Payable on Savings Bank Accounts,20,Preserve balance sign,Account Type,
13603,Interest payable on Recurring Deposit,"Interest Payable on Customer Deposits -SB, FD, RD, SND etc.",2,Preserve balance sign,View,
13603001,Interest payable on RD Brick-by-Brick,Interest payable on Recurring Deposit,0,Preserve balance sign,Account Type,
13603002,Interest payable on RD MTB Educational Plan,Interest payable on Recurring Deposit,1,Preserve balance sign,Account Type,
13603003,Interest payable on RD Kotipati,Interest payable on Recurring Deposit,2,Preserve balance sign,Account Type,
13603004,Interest payable on RD Millionnaire Plan,Interest payable on Recurring Deposit,3,Preserve balance sign,Account Type,
13603005,Interest payable on RD NRB,Interest payable on Recurring Deposit,4,Preserve balance sign,Account Type,
13602912,Interest payable on SAVE EVERY DAY DEPOSIT A/C,Interest payable on Recurring Deposit,5,Preserve balance sign,Account Type,
13602913,Interest Payable on FESTIVAL SANCHAY PROKALPA,Interest payable on Recurring Deposit,6,Preserve balance sign,Account Type,
13602914,Interest Payable on UNIQUE SAVING PLAN,Interest payable on Recurring Deposit,7,Preserve balance sign,Account Type,
13602907,Interest Payable on EID UL FITRE SANCHAY PROKALPA,Interest payable on Recurring Deposit,8,Preserve balance sign,Account Type,
13602908,Interest Payable on EID UL AZHA SANCHAY PROKALPA,Interest payable on Recurring Deposit,9,Preserve balance sign,Account Type,
13602909,Interest Payable on DURGA PUJA SANCHAY PROKALPA,Interest payable on Recurring Deposit,10,Preserve balance sign,Account Type,
13602910,Interest Payable on CHRISTMAS SANCHAY PROKALPA,Interest payable on Recurring Deposit,11,Preserve balance sign,Account Type,
