id,location_id/id,name,company_id/id,line_ids/product_id/id,line_ids/product_qty,line_ids/product_uom_id/id,line_ids/location_id/id
,,,,__export__.product_product_24976,450,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24977,450,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24978,400,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24979,650,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24980,650,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24981,450,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24982,0,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24983,1000,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24984,750,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24985,1850,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24986,1850,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24987,520,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24988,520,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24989,1150,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24990,1950,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24991,2550,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24992,3250,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24993,2950,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24994,950,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24995,950,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24996,0,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24997,750,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24998,0,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_24999,800,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25000,2500,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25001,2700,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25002,3000,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25003,3000,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25004,0,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25005,0,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25006,900,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25007,1350,product.product_uom_unit,__export__.stock_location_37
