id,name,product_variant_ids/id,id,line_ids/product_qty,type,uom_po_id/id,uom_id/id,line_ids/product_qty
__export__.product_product_24939,TONYMOLY I'm Real Tomato Radiance Mask Sheet,__export__.product_product_24939,__export__.product_product_24939,150,product,product.product_uom_unit,product.product_uom_unit,150
__export__.product_product_24940,TONYMOLY Perfect Eyes Long Kinny Gel Pen Liner,__export__.product_product_24940,__export__.product_product_24940,150,product,product.product_uom_unit,product.product_uom_unit,150
__export__.product_product_24941,Skinfood black pomegranate cream,__export__.product_product_24941,__export__.product_product_24941,950,product,product.product_uom_unit,product.product_uom_unit,950
__export__.product_product_24942,Skinfood black pomegranate emulsion,__export__.product_product_24942,__export__.product_product_24942,1950,product,product.product_uom_unit,product.product_uom_unit,1950
__export__.product_product_24943,Skinfood black sugar honey mask,__export__.product_product_24943,__export__.product_product_24943,1700,product,product.product_uom_unit,product.product_uom_unit,1700
__export__.product_product_24944,Skinfood black sugar mask,__export__.product_product_24944,__export__.product_product_24944,900,product,product.product_uom_unit,product.product_uom_unit,900
__export__.product_product_24945,Skinfood black sugar perfect cleansing foam for me,__export__.product_product_24945,__export__.product_product_24945,750,product,product.product_uom_unit,product.product_uom_unit,750
__export__.product_product_24946,Skinfood black sugar perfect cleansing oil,__export__.product_product_24946,__export__.product_product_24946,900,product,product.product_uom_unit,product.product_uom_unit,900
__export__.product_product_24947,Skinfood black sugar perfect emulsion for men,__export__.product_product_24947,__export__.product_product_24947,1450,product,product.product_uom_unit,product.product_uom_unit,1450
__export__.product_product_24948,Skinfood black sugar perfect scrub foam,__export__.product_product_24948,__export__.product_product_24948,1650,product,product.product_uom_unit,product.product_uom_unit,1650
__export__.product_product_24949,Skinfood egg white pore hard foam,__export__.product_product_24949,__export__.product_product_24949,1100,product,product.product_uom_unit,product.product_uom_unit,1100
__export__.product_product_24950,Skinfood egg white pore mask,__export__.product_product_24950,__export__.product_product_24950,1200,product,product.product_uom_unit,product.product_uom_unit,1200
__export__.product_product_24951,Skinfood gold caviar emulsion,__export__.product_product_24951,__export__.product_product_24951,750,product,product.product_uom_unit,product.product_uom_unit,750
__export__.product_product_24952,Skinfood gold caviar serum,__export__.product_product_24952,__export__.product_product_24952,1950,product,product.product_uom_unit,product.product_uom_unit,1950
__export__.product_product_24953,Skinfood lemon mask,__export__.product_product_24953,__export__.product_product_24953,2050,product,product.product_uom_unit,product.product_uom_unit,2050
__export__.product_product_24954,Skinfood miracle food 10 solution serum,__export__.product_product_24954,__export__.product_product_24954,900,product,product.product_uom_unit,product.product_uom_unit,900
__export__.product_product_24955,Skinfood parsley & mandarin emulsion,__export__.product_product_24955,__export__.product_product_24955,2650,product,product.product_uom_unit,product.product_uom_unit,2650
__export__.product_product_24956,Skinfood pineapple peeling gel,__export__.product_product_24956,__export__.product_product_24956,1400,product,product.product_uom_unit,product.product_uom_unit,1400
__export__.product_product_24957,Skinfood premium lettuce cucumber watery emulsion,__export__.product_product_24957,__export__.product_product_24957,750,product,product.product_uom_unit,product.product_uom_unit,750
