id,name,uom_po_id/id,uom_id/id,line_ids/product_qty,line_ids/location_id/id
__export__.product_template_26731,Skinfood parsley & mandarin emulsion,product.product_uom_unit,product.product_uom_unit,2650,__export__.stock_location_30
__export__.product_template_26732,Skinfood pineapple peeling gel,product.product_uom_unit,product.product_uom_unit,1400,__export__.stock_location_30
__export__.product_template_26733,Skinfood premium lettuce cucumber watery emulsion,product.product_uom_unit,product.product_uom_unit,750,__export__.stock_location_30
__export__.product_template_26734,Skinfood premium tomato whitening cream,product.product_uom_unit,product.product_uom_unit,1400,__export__.stock_location_30
__export__.product_template_26735,Skinfood premium tomato whitening emulsion,product.product_uom_unit,product.product_uom_unit,1350,__export__.stock_location_30
__export__.product_template_26736,Skinfood premium tomato whitening emulsion,product.product_uom_unit,product.product_uom_unit,1350,__export__.stock_location_30
__export__.product_template_26737,Skinfood premium tomato whitening moisture synergy,product.product_uom_unit,product.product_uom_unit,1550,__export__.stock_location_30
__export__.product_template_26738,Skinfood Rice Brightening Cleansing Foam,product.product_uom_unit,product.product_uom_unit,2150,__export__.stock_location_30
__export__.product_template_26739,Skinfood rice brightening scrub foam,product.product_uom_unit,product.product_uom_unit,1200,__export__.stock_location_30
__export__.product_template_26740,Skinfood rice mask,product.product_uom_unit,product.product_uom_unit,1150,__export__.stock_location_30
__export__.product_template_26741,Skinfood royal honey essential queen's serum,product.product_uom_unit,product.product_uom_unit,750,__export__.stock_location_30
__export__.product_template_26742,Skinfood salmon brightening  eye cream,product.product_uom_unit,product.product_uom_unit,2050,__export__.stock_location_30
__export__.product_template_26743,Skinfood strawberry black sugar mask,product.product_uom_unit,product.product_uom_unit,1550,__export__.stock_location_30
__export__.product_template_26744,Sparkling Squeaky (Face Cleanser) ,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26745,Stay Sunny (Sun Block) ,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26683,Super Peeling liquid ,product.product_uom_unit,product.product_uom_unit,1200,__export__.stock_location_30
__export__.product_template_26808,Swept Away (Face Wash),product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26684,Tightening cooling pack egg pore,product.product_uom_unit,product.product_uom_unit,1300,__export__.stock_location_30
__export__.product_template_26685,Time Revolution best seller special set 1,product.product_uom_unit,product.product_uom_unit,1100,__export__.stock_location_30
__export__.product_template_26686,time revolution ninght repair borabit ampoule,product.product_uom_unit,product.product_uom_unit,6500,__export__.stock_location_30
__export__.product_template_26687,Time revolution the first treatment essence,product.product_uom_unit,product.product_uom_unit,3300,__export__.stock_location_30
__export__.product_template_26688,Time revolution white cure blanc tone-up cream,product.product_uom_unit,product.product_uom_unit,3000,__export__.stock_location_30
__export__.product_template_26689,Time revolution white cure blanc tone-up toner,product.product_uom_unit,product.product_uom_unit,2600,__export__.stock_location_30
__export__.product_template_26690,Time revolution white cure special set 1,product.product_uom_unit,product.product_uom_unit,1700,__export__.stock_location_30
__export__.product_template_26706,TONYMOLY Backstage Gel Eyeliner,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26707,TONYMOLY I Am Real Pomegranate Elasticity Mask She,product.product_uom_unit,product.product_uom_unit,850,__export__.stock_location_30
__export__.product_template_26708,TONYMOLY I'm Real Aloe Moisturizing Mask Sheet,product.product_uom_unit,product.product_uom_unit,150,__export__.stock_location_30
__export__.product_template_26709,TONYMOLY i'm real avocado Nutrition mask sheet,product.product_uom_unit,product.product_uom_unit,150,__export__.stock_location_30
__export__.product_template_26710,TONYMOLY I'm Real Lemon Brightening Mask Sheet,product.product_uom_unit,product.product_uom_unit,150,__export__.stock_location_30
__export__.product_template_26711,TONYMOLY i'm real makgeolli Skin Purifying mask sh,product.product_uom_unit,product.product_uom_unit,150,__export__.stock_location_30
__export__.product_template_26712,TONYMOLY i'm real rice Clear Skin mask sheet,product.product_uom_unit,product.product_uom_unit,150,__export__.stock_location_30
__export__.product_template_26713,TONYMOLY i'm real seaweeds Skin Purifying mask she,product.product_uom_unit,product.product_uom_unit,150,__export__.stock_location_30
__export__.product_template_26714,TONYMOLY i'm real tea tree Skin Soothing  mask she,product.product_uom_unit,product.product_uom_unit,150,__export__.stock_location_30
__export__.product_template_26715,TONYMOLY I'm Real Tomato Radiance Mask Sheet,product.product_uom_unit,product.product_uom_unit,150,__export__.stock_location_30
__export__.product_template_26716,TONYMOLY Perfect Eyes Long Kinny Gel Pen Liner,product.product_uom_unit,product.product_uom_unit,150,__export__.stock_location_30
__export__.product_template_26691,Truly Freely(Face Foundation) ,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26692,Winking Hour (Eye Cream) ,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26705,Witching Hour (Night Emulsion) ,product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
__export__.product_template_26693,Wonder pore freshner (500ml),product.product_uom_unit,product.product_uom_unit,0,__export__.stock_location_30
