Code,Name,Location of Branch,active,pending,state
057,Tejgaon Branch,Urban,True,False,approve
058,Thakurgaon Branch,Urban,True,False,approve
059,Shahparan Gate Branch,Rural,True,False,approve
060,Karnaphuli EPZ Branch,Urban,True,False,approve
061,Bashundhara Branch,Urban,True,False,approve
062,Shah Mokhdum Avenue Branch,Urban,True,False,approve
063,Brahmanbaria Branch,Urban,True,False,approve
064,Kapasia Branch,Rural,True,False,approve
065,Meghna Branch,Rural,True,False,approve
066,Khilpara Branch,Rural,True,False,approve
067,Kamrangir Char Branch,Urban,True,False,approve
068,Kakrail Branch,Urban,True,False,approve
069,Narayanganj BSCIC Branch,Rural,True,False,approve
070,Naogaon Branch,Urban,True,False,approve
071,Gobindaganj Branch,Urban,True,False,approve
072,Dinajpur Branch,Urban,True,False,approve
073,Chattogram Medical College Branch,Urban,True,False,approve
074,Mirpur Branch,Urban,True,False,approve
075,Kadair Bazar Branch,Rural,True,False,approve
076,Jamirdia Masterbari Branch,Rural,True,False,approve
077,Kalurghat Industrial Area Branch,Urban,True,False,approve
078,Ashulia Branch,Rural,True,False,approve
079,Monipur Bazar Branch,Rural,True,False,approve
080,Tangail Branch,Urban,True,False,approve
081,Sirajganj Branch,Urban,True,False,approve
082,Dumni Branch,Urban,True,False,approve
083,Baraipara Branch,Rural,True,False,approve
084,Khulna Branch,Urban,True,False,approve
085,Abu Torab Bazar Branch,Rural,True,False,approve
086,Muradpur Branch,Urban,True,False,approve
087,MTB Tower Branch,Urban,True,False,approve
088,Bormi Branch,Rural,True,False,approve
089,Bagher Bazar Branch,Rural,True,False,approve
090,Barishal Branch,Urban,True,False,approve
091,Laldighirpar Branch,Urban,True,False,approve
092,Madhabdi Branch,Urban,True,False,approve
093,Goalmari Bazar Branch,Rural,True,False,approve
094,Malibagh Chowdhurypara Branch,Urban,True,False,approve
095,Faridpur Branch,Urban,True,False,approve
096,Ulipur Branch,Rural,True,False,approve
097,Hemayetpur Branch,Rural,True,False,approve
098,Sarkerhat Branch,Rural,True,False,approve
501,Haidergonj SME/ Agri Branch,Rural,True,False,approve
502,Dagon Bhuiyan SME/ Agri Branch,Urban,True,False,approve
503,Laksam SME/ Agri Branch,Urban,True,False,approve
504,Naria SME/ Agri Branch,Rural,True,False,approve
505,Kaliganj SME/ Agri Branch,Rural,True,False,approve
506,Ramchandrapur Bazar SME/ Agri Branch,Rural,True,False,approve
507,Gaffargaon SME/ Agri Branch,Urban,True,False,approve
508,Ishwardi SME/ Agri Branch,Urban,True,False,approve
509,Belkuchi SME/ Agri Branch,Urban,True,False,approve
510,Nazumeah Hat SME/ Agri Branch,Rural,True,False,approve
511,Dhanbari SME/ Agri Branch,Rural,True,False,approve
512,Hasnabad SME/ Agri Branch,Rural,True,False,approve
513,Syedpur SME/ Agri Branch,Rural,True,False,approve
514,Sarulia Bazar SME/ Agri Branch,Urban,True,False,approve
515,Mawna Branch,Rural,True,False,approve
516,Mirpur-2 Branch,Urban,True,False,approve
517,Rahattarpool Branch,Urban,True,False,approve
113,Unknown Branch,Urban,True,False,approve
000,Empty Branch,Urban,True,False,approve
