Layer,Code,Name,Type,Parent Account,active,pending,state
Layer 5,13105007,Payable to Bangladesh Bank - Service Charge,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105008,BEFTN Transaction,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105009,Exchange House Coop Fund,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105010,MasterCard Local Prepaid,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105011,Prepaid Gift Card,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105012,Prepaid International Card,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105013,Online Clearing Adjustment,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105014,Risk Fund (Auto Loan),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105015,Stamp Charge Recovery,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105016,Retail CIB Charge Recover for BB,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105017,Retail Notarization Charge Recovery,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105018,Central Fund (RMG Sector),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105019,Risk Fund (Card),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105020,Credit Report Charges Payable,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105021,Transfer Delivery,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105022,Online GL Transaction <Sundry Account>,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105023,Online Transfer DD Amount,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105024,Clearing House Payable,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105025,Risk Fund (Small Business Loan),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105026,Risk Fund (House Repair/Renovation Loan),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105027,Lease Deposit,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105028,P. Fund Loan Instalment,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105029,Foreign Bank Adjustment A/c,Treasury Liabilities,Sundry Deposits,True,False,approve
Layer 5,13105030,Recovery of SWIFT Charges,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105031,Margin on L/C (Others),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105032,Margin on L/G (Inland),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105033,Margin on L/G (Foreign),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105034,Risk Fund (Lease Finance),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105035,AIT <Advance Income Tax> Payable Account,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105036,Fund Build up Aganist Export Bill,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105037,Sundry Creditors,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105038,Security Deposit,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105039,Margin on L/C (Cash),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105040,Margin on IBP/FDBP,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105041,LDBC,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105042,Duty Draw Back,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105043,Cash Incentive (Traditional),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105044,Cash Incentive (Non Traditional),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105045,OBC Outward Bill Collection,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105046,Advance Lease Rental,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105047,Sanchay Patra (Issued),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105048,Risk Fund (CCS),Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13105106,bKash Settlement A/c,Liabilities: Office Accounts,Sundry Deposits,True,False,approve
Layer 5,13201001,MTB Buniad,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13201002,NRB Fixed Deposit,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13201003,Term Deposit General,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13201004,Term Deposit Monthly Benefit Plan,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13201901,Best Investment TERM DEPOSIT,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13201902,MTB Quarterly Benefit Plan,Liabilities: Customer Accounts,Term Deposits,True,False,approve
Layer 5,13202001,Reinvestment Term Deposit MTB Buniad,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202002,Reinvestment Term Deposits General,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202003,Reinvestment Term Deposit Double Benefit Scheme,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202004,Reinvestment Term Deposit NRB,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202901,MTB DOUBLE SAVER (DST),Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202902,MTB TRIPLE SAVER PLAN,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202903,FIXED DEPOSIT (DST),Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13202904,MTB 1.5 Times Benefit Plan,Liabilities: Customer Accounts,Term Deposits Reinvestments,True,False,approve
Layer 5,13203001,RD Brick-by-Brick,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203002,RD MTB Educational Plan,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203003,RD Kotipati,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203004,RD Millionnaire Plan,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203005,RD NRB,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203901,SAVE EVERY DAY DEPOSIT A/C,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203902,FESTIVAL SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203903,UNIQUE SAVING PLAN,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203904,EID UL FITRE SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203905,EID UL AZHA SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203906,DURGA PUJA SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203907,CHRISTMAS SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13203908,BUDDHA PURNIMA SANCHAY PROKALPA,Liabilities: Customer Accounts,Recurring Deposit,True,False,approve
Layer 5,13204001,FC NON-RESIDENT FOREIGN CURRENCY DEPOSIT ACCOUNT(NFCD)_USD,Liabilities: Customer Accounts,Term Deposits FC,True,False,approve
Layer 5,13204002,FC FD from Individual OBU USD,Liabilities: Customer Accounts,Term Deposits FC,True,False,approve
Layer 5,13204003,FC FD from Institutions OBU USD,Liabilities: Customer Accounts,Term Deposits FC,True,False,approve
Layer 5,13206001,MTB Ankur,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206002,MTB Ruby,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206003,MTB Graduate,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206004,MTB Junior,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206005,MTB Privilege Saving,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206006,NRB Savings Account,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206007,MTB Senior,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206008,MTB Inspire,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206009,MTB Shanchay,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206010,MTB Care,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206011,Regular Savings  Deposit,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206012,MTB Regular Savings Staff,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206013,MTB Payroll Premium,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206014,MTB Payroll eSavers,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206015,MTB Payroll Saver,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206016,MTB Children Education Deposit Scheme,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206901,MTB Inspire (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206902,MTB Senior (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206903,MTB Ruby (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206904,Savings Deposit (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206905,MTB Graduate (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206906,MTB JUNIOR (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13207001,SB Resident Foreign Currency Deposit (RFCD)_USD,Liabilities: Customer Accounts,Savings Bank Account <FC>,True,False,approve
Layer 5,13207011,FC PRIVATE FOREIGN CURRENCY ACCOUNT (PFC) INCLUDING DFC & RBN_USD,Liabilities: Customer Accounts,Savings Bank Account <FC>,True,False,approve
Layer 5,13208001,MTB Gift Cheque,Liabilities: Office Accounts,Other Deposit product,True,False,approve
Layer 5,13401001,Bank Deposits -FD  <BDT>,Liabilities: Customer Accounts,Bank Deposits -FD,True,False,approve
Layer 5,13401002,Bank Deposits -SND,Liabilities: Customer Accounts,Bank Deposits -FD,True,False,approve
Layer 5,13501001,Interest Payable MTB Probaho,Interest Payable Accounts,Interest Payable on Current Deposits,True,False,approve
Layer 5,13601001,Interest Payable on MTB Buniad,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13601002,Interest Payable on NRB Fixed Deposit,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13601003,Interest Payable on Term Deposit General,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13601004,Interest Payable on Term Deposit Monthly Benefit Plan,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13601901,Interest Payable on Best Investment TERM DEPOSIT,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13601902,IP on MTB Quarterly Benefit Plan,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13602001,IP MTB Ankur,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602002,IP MTB Ruby,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602003,IP MTB Graduate,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602004,IP MTB Junior,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602005,IP MTB Privilege Saving,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602006,Interest Payable on NRB Savings Account,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602007,IP MTB Senior,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602008,IP on MTB Inspire,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602009,IP on MTB Shanchay,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602010,IP on MTB Care,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602011,IP on Regular Savings  Deposit,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602012,Interest Payable on MTB REGULAR SAVINGS STAFF,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602013,Interest Payable on MTB Payroll Premium,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602014,Interest Payable on MTB Payroll eSavers,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602015,Interest Payable on MTB Payroll Saver,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602016,Interest Payable on MTB Children Education Deposit Scheme,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602901,Interest Payable on MTB Inspire (DST),Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602903,Interest Payable on MTB Ruby (DST),Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602904,Interest Payable on Savings Deposit (DST),Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602905,Interest Payable on MTB Graduate (DST),Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602906,Interest Payable on MTB JUNIOR (DST),Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13603001,Interest payable on RD Brick-by-Brick,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
Layer 5,13603002,Interest payable on RD MTB Educational Plan,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
Layer 5,13603003,Interest payable on RD Kotipati,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
Layer 5,13603004,Interest payable on RD Millionnaire Plan,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
Layer 5,13603005,Interest payable on RD NRB,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
Layer 5,13605001,Interest Payable on NFCD USD,Interest Payable Accounts,Interest Payable on Term Deposits FC,True,False,approve
