Layer,Code,Name,Parent Account,,Type,active,pending,state
Layer 5,13105029,Foreign Bank Adjustment A/c,13105,Sundry Deposits,Treasury Liabilities,True,False,approve
Layer 5,13105030,Recovery of SWIFT Charges,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105031,Margin on L/C (Others),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105032,Margin on L/G (Inland),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105033,Margin on L/G (Foreign),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105034,Risk Fund (Lease Finance),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105035,AIT <Advance Income Tax> Payable Account,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105036,Fund Build up Aganist Export Bill,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105037,Sundry Creditors,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105038,Security Deposit,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105039,Margin on L/C (Cash),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105040,Margin on IBP/FDBP,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105041,LDBC,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105042,Duty Draw Back,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105043,Cash Incentive (Traditional),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105044,Cash Incentive (Non Traditional),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105045,OBC Outward Bill Collection,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105046,Advance Lease Rental,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105047,Sanchay Patra (Issued),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105048,Risk Fund (CCS),13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13105106,bKash Settlement A/c,13105,Sundry Deposits,Liabilities: Office Accounts,True,False,approve
Layer 5,13201001,MTB Buniad,13201,Term Deposits,Liabilities: Customer Accounts,True,False,approve
Layer 5,13201002,NRB Fixed Deposit,13201,Term Deposits,Liabilities: Customer Accounts,True,False,approve
Layer 5,13201003,Term Deposit General,13201,Term Deposits,Liabilities: Customer Accounts,True,False,approve
Layer 5,13201004,Term Deposit Monthly Benefit Plan,13201,Term Deposits,Liabilities: Customer Accounts,True,False,approve
